	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
breast_luminal_epithelial	0.971190476190476	0.9730761904761905	0.9806666666666667	0.966037037037037	0.9445333333333333	0.9622708333333333	0.9847777777777776	0.9875555555555554	0.9839333333333332	0.97675	0.8495238095238097	0.9677407407407408	0.9589444444444445	0.9106666666666666	0.9673333333333334	0.9076666666666666	0.9278444444444444	0.9607777777777776	0.8945333333333334	0.24177777777777776	0.9453809523809523	0.9739999999999999	0.9746999999999999	0.6986666666666665	0.969	0.9302222222222222	0.9722380952380952	0.9722222222222222	0.8549166666666665	0.9590000000000001
colon_endocrine	0.9477619047619048	0.9446857142857142	0.024666666666666667	0.9072962962962964	0.9617999999999999	0.9613541666666666	0.9752222222222221	0.9658888888888889	0.9712666666666666	0.9406666666666667	0.9649047619047618	0.9593333333333333	0.9771944444444444	0.94175	0.9531333333333333	0.79	0.9538666666666668	0.9611111111111111	0.9025333333333334	0.7995555555555556	0.9526904761904761	0.9714166666666667	0.9686666666666667	0.8867333333333333	0.9739166666666667	0.7791851851851851	0.9137142857142857	0.9802222222222222	0.9775833333333334	0.9176666666666667
colon_epithelial	0.9635428571428571	0.9487942857142857	0.0094	0.8695333333333334	0.97356	0.9682749999999999	0.9743555555555556	0.9590333333333334	0.96996	0.9576499999999999	0.9468	0.9371777777777777	0.95335	0.97385	0.9270400000000001	0.87225	0.9416400000000001	0.9393666666666667	0.8880399999999999	0.8617333333333332	0.9532285714285713	0.9661	0.94946	0.9106799999999999	0.95975	0.8478666666666668	0.9197714285714286	0.953	0.9593999999999999	0.92968
endometrium_epithelial	0.9635238095238096	0.959	0.9620000000000001	0.9327037037037037	0.9687999999999999	0.9588958333333334	0.9521111111111112	0.858	0.9673333333333334	0.8515	0.9487619047619047	0.9238518518518518	0.10702777777777778	0.7151666666666667	0.9288666666666666	0.9395833333333333	0.7318444444444444	0.9195555555555556	0.9465999999999998	0.8201111111111112	0.9425952380952382	0.94875	0.8826	0.8932000000000001	0.9505833333333333	0.9307777777777778	0.9356666666666666	0.9602222222222222	0.9297083333333335	0.9587333333333333
fallopian_epithelial	0.980047619047619	0.9757619047619048	0.9809166666666665	0.964	0.8050666666666668	0.9851666666666666	0.9585185185185185	0.9727777777777779	0.9765333333333334	0.8748333333333335	0.9614285714285714	0.9702962962962962	0.9673055555555555	0.05308333333333334	0.9126666666666665	0.97575	0.8702000000000001	0.9512222222222223	0.9264	0.9830000000000001	0.9529761904761904	0.9745833333333334	0.9291666666666668	0.9186	0.9601666666666665	0.988185185185185	0.9758095238095238	0.9596666666666667	0.9505416666666666	0.9611333333333333
fibroblast	0.7583061224489794	0.9100408163265307	0.9052857142857142	0.9034920634920635	0.8838857142857142	0.9104017857142858	0.8476190476190475	0.8413571428571428	0.9380571428571429	0.8438928571428573	0.9001530612244898	0.9189047619047619	0.8646309523809526	0.8268571428571428	0.9089428571428572	0.8554642857142857	0.8521523809523809	0.9335000000000001	0.8583714285714285	0.815095238095238	0.8181530612244897	0.9514285714285714	0.8582	0.8215714285714286	0.8918571428571429	0.8018095238095236	0.925469387755102	0.7053809523809523	0.8474285714285715	0.9018857142857142
gastric_epithelial	0.9448730158730159	0.9349301587301587	0.9584722222222221	0.9311358024691359	0.8953111111111112	0.9768541666666667	0.9545679012345679	0.09837037037037037	0.9679555555555557	0.9572499999999999	0.9329047619047619	0.9417654320987654	0.9720740740740741	0.9671388888888887	0.9515999999999999	0.8752222222222222	0.9500888888888888	0.975962962962963	0.9133777777777777	0.9436296296296296	0.9305079365079365	0.9679444444444444	0.9516333333333331	0.8465111111111111	0.9204722222222222	0.7887407407407407	0.960015873015873	0.949925925925926	0.9566250000000002	0.9161777777777778
heart_cardiomyocyte	0.9396428571428572	0.9635476190476191	0.9852500000000001	0.9325740740740741	0.0262	0.9732916666666666	0.9759444444444445	0.9381666666666666	0.8731666666666666	0.9579166666666666	0.9525833333333332	0.9569444444444444	0.9428055555555557	0.9707083333333332	0.9811	0.9184583333333333	0.9419888888888889	0.9725277777777778	0.8930333333333333	0.9364444444444445	0.8867261904761904	0.9715416666666666	0.9761833333333335	0.8712333333333334	0.9647083333333334	0.9489259259259258	0.9769047619047618	0.9438333333333334	0.9401875	0.9254666666666668
kidney_glomerular_endothel	0.9389523809523809	0.9565904761904761	0.977	0.9208148148148148	0.9514	0.9721666666666667	0.9222962962962962	0.9679444444444444	0.9618666666666668	0.9486666666666667	0.9405476190476191	0.9547407407407408	0.9706944444444444	0.9672499999999999	0.9518666666666666	0.9625	0.8966222222222222	0.9631666666666666	0.8752666666666666	0.920888888888889	0.8923809523809524	0.9653333333333333	0.9404666666666667	0.9354	0.9482499999999999	0.9576296296296296	0.9713809523809523	0.9348888888888888	0.9655833333333333	0.9539333333333334
kidney_glomerular_podocytes	0.950047619047619	0.9704761904761905	0.9733333333333333	0.9502222222222222	0.9113333333333333	0.9567291666666667	0.9033333333333333	0.972111111111111	0.9687333333333333	0.8354166666666666	0.9592857142857142	0.965037037037037	0.9567222222222224	0.8413333333333334	0.9545333333333333	0.9621666666666666	0.09988888888888887	0.9554444444444444	0.9342	0.8308888888888889	0.9393571428571429	0.9253333333333332	0.8957	0.9171999999999999	0.9488333333333333	0.9668888888888888	0.9585238095238097	0.9653333333333335	0.9442499999999999	0.9173333333333332
