	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
breast_luminal_epithelial	0.004333333333333334	0.9837777777777778	0.9507037037037037	0.9814444444444445	0.9153809523809523	0.9804444444444443	0.9772222222222222	0.9264666666666667	0.9274999999999999	0.9627222222222223	0.9538620689655173	0.9662000000000001	0.9118666666666667	0.9227179487179488	0.8169166666666666	0.9535	0.7510416666666666	0.9584444444444444	0.939952380952381	0.9504444444444444	0.9387777777777777	0.9573333333333333	0.9274285714285715	0.93325	0.7732000000000001	0.8904444444444444	0.11345098039215686
colon_endocrine	0.0155	0.9325555555555556	0.9467037037037037	0.9853333333333333	0.8448571428571429	0.9715555555555556	0.9556666666666667	0.9170666666666666	0.9496666666666665	0.9741666666666666	0.9694252873563219	0.019333333333333334	0.9629333333333333	0.9511794871794873	0.8252499999999999	0.9606111111111111	0.9339583333333333	0.8924444444444445	0.8420238095238095	0.8754444444444444	0.8003333333333335	0.9611111111111111	0.9534285714285714	0.8595833333333335	0.9478	0.8585555555555556	0.9798431372549019
colon_epithelial	0.01105	0.8698666666666668	0.9350444444444446	0.9744666666666667	0.8911714285714286	0.9762666666666668	0.9432666666666666	0.8985999999999998	0.9475666666666667	0.9451	0.9610137931034484	0.01456	0.9333600000000001	0.9393076923076922	0.8131499999999999	0.9564	0.9495000000000001	0.8875333333333332	0.8333285714285713	0.8490666666666666	0.7647333333333333	0.9234	0.9520571428571427	0.8205	0.9541600000000001	0.9344666666666666	0.9730941176470589
endometrium_epithelial	0.08416666666666667	0.965	0.9361851851851851	0.9458888888888889	0.7993333333333333	0.9455555555555556	0.96	0.87	0.9326111111111112	0.9573333333333333	0.9731609195402299	0.9575999999999999	0.12086666666666666	0.8195128205128205	0.8198333333333334	0.9124444444444445	0.8634166666666667	0.9630000000000001	0.9510952380952381	0.8377777777777777	0.9066666666666667	0.836	0.9537142857142857	0.9084166666666667	0.9691999999999998	0.7806666666666667	0.9467254901960783
fallopian_epithelial	0.09549999999999999	0.9756666666666667	0.934	0.9643333333333334	0.9262857142857142	0.9807777777777779	0.9885555555555556	0.9414000000000001	0.9673888888888889	0.8541666666666669	0.9759195402298849	0.9850666666666665	0.9347333333333334	0.9135384615384615	0.05058333333333334	0.9447777777777778	0.9486666666666667	0.9803333333333333	0.9246904761904761	0.8664444444444445	0.9146666666666666	0.9646666666666666	0.9724285714285713	0.9554166666666667	0.9709333333333333	0.8557777777777776	0.9615490196078431
fibroblast	0.7259642857142857	0.8080952380952383	0.8487142857142859	0.9338095238095239	0.8598367346938777	0.8205714285714285	0.9324285714285713	0.9009999999999999	0.8678571428571428	0.7744761904761904	0.9121724137931035	0.9213714285714286	0.8635714285714285	0.8411538461538461	0.92075	0.8939761904761906	0.8630892857142858	0.6826666666666668	0.863969387755102	0.7707142857142857	0.7139523809523809	0.7624285714285713	0.9003061224489796	0.8099999999999999	0.7831999999999999	0.7343809523809524	0.8953361344537817
gastric_epithelial	0.015277777777777779	0.9406666666666665	0.951864197530864	0.9705555555555555	0.8526666666666666	0.9652222222222223	0.9858148148148148	0.8460666666666667	0.9550925925925926	0.8769629629629629	0.015394636015325671	0.9563777777777775	0.9215111111111111	0.8963504273504272	0.8575277777777779	0.9627222222222223	0.9481805555555556	0.9545925925925928	0.9656190476190477	0.9087037037037037	0.8537777777777777	0.8950740740740741	0.9496031746031746	0.876138888888889	0.9617333333333333	0.7927777777777778	0.9285555555555555
heart_cardiomyocyte	0.8601666666666666	0.07416666666666667	0.9253518518518518	0.9615555555555555	0.8937142857142858	0.9685555555555556	0.9834444444444445	0.8553999999999999	0.9368888888888889	0.6501944444444444	0.9760402298850576	0.9774333333333333	0.9295666666666667	0.9571923076923078	0.9745833333333334	0.9503333333333334	0.9625	0.9275000000000001	0.955952380952381	0.8238333333333333	0.8594444444444443	0.9032222222222223	0.9621428571428572	0.9275416666666666	0.9513333333333334	0.9158333333333334	0.9643039215686273
kidney_glomerular_endothel	0.8628333333333332	0.975	0.9043703703703704	0.9381111111111111	0.9485714285714285	0.975111111111111	0.9868888888888888	0.8767333333333333	0.9021111111111111	0.8366666666666668	0.9499655172413792	0.6969333333333333	0.9116	0.9083846153846155	0.9581666666666667	0.8902777777777776	0.9307500000000001	0.9255555555555555	0.9559047619047619	0.9248888888888889	0.6787777777777778	0.8118888888888889	0.9364285714285714	0.9101666666666667	0.8722	0.891	0.9776470588235293
kidney_glomerular_podocytes	0.11491666666666667	0.9718888888888889	0.929925925925926	0.9744444444444444	0.818047619047619	0.9538888888888889	0.9778888888888889	0.8333333333333334	0.93	0.8457222222222223	0.9580344827586207	0.9491999999999999	0.9446	0.9069743589743591	0.8279166666666667	0.9089444444444444	0.8995416666666666	0.9082222222222222	0.8989761904761906	0.9472222222222223	0.7347777777777779	0.24766666666666667	0.9274285714285714	0.9561666666666667	0.9639333333333333	0.9289999999999999	0.9734901960784313
kidney_tubular_endothel	0.9144166666666665	0.9586666666666667	0.9016296296296297	0.9506666666666667	0.932952380952381	0.9756666666666667	0.9806666666666667	0.8952666666666668	0.7836111111111111	0.9092777777777777	0.9544942528735633	0.6302	0.8988666666666666	0.9107948717948718	0.9522499999999999	0.8895555555555555	0.9455416666666667	0.9258888888888889	0.9406666666666667	0.899	0.9041111111111112	0.8736666666666667	0.9537619047619047	0.9041666666666667	0.7944	0.8986666666666667	0.9608823529411765
