	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
fallopian_epithelial	0.11641666666666668	0.9362499999999999	0.9796666666666666	0.9638	0.8209166666666666	0.9358000000000001	0.9380666666666667	0.9392083333333333	0.9342083333333333	0.9824583333333333	0.9064666666666668	0.9372777777777778	0.9811111111111112	0.9798888888888889	0.06177777777777777	0.8848333333333334	0.9522222222222222	0.5317333333333334	0.16516666666666666	0.9125555555555556	0.9456666666666668	0.9550833333333334	0.9586666666666668	0.9678333333333332	0.9763333333333334	0.97275
fibroblast	0.6875	0.90175	0.9329714285714286	0.7450285714285714	0.8122857142857143	0.9246000000000001	0.8419142857142858	0.8933928571428572	0.8660535714285714	0.9167857142857142	0.7195142857142856	0.8898333333333335	0.9399523809523809	0.8102380952380951	0.766095238095238	0.8641142857142857	0.9064761904761903	0.7904714285714285	0.12916666666666668	0.816595238095238	0.8752571428571428	0.8955714285714286	0.7584571428571428	0.926404761904762	0.7176666666666668	0.9229107142857143
gastric_epithelial	0.8510833333333332	0.9684722222222223	0.7775444444444444	0.8522222222222223	0.8861944444444444	0.6532666666666667	0.04506666666666667	0.9493472222222221	0.7283333333333333	0.9617638888888889	0.8737555555555555	0.740537037037037	0.9734074074074075	0.9674814814814814	0.9767037037037036	0.9392666666666667	0.9567777777777778	0.8517111111111111	0.10816666666666667	0.9424629629629631	0.8003777777777779	0.07966666666666666	0.9431999999999999	0.9570740740740741	0.9268888888888888	0.8854305555555556
heart_cardiomyocyte	0.8805833333333334	0.9584722222222221	0.9570833333333333	0.8597333333333333	0.07345833333333333	0.9565666666666667	0.9806333333333334	0.9776041666666666	0.9087083333333333	0.9608333333333334	0.8194	0.9108055555555555	0.9845555555555555	0.9305	0.9695555555555555	0.9549666666666666	0.9670277777777777	0.8119000000000001	0.07683333333333334	0.517611111111111	0.9689	0.9756666666666667	0.9087666666666666	0.10941666666666666	0.9556666666666667	0.7994374999999999
kidney_glomerular_endothel	0.9118333333333334	0.9602222222222223	0.9749	0.7989333333333333	0.9460000000000001	0.9464	0.9601333333333333	0.9736250000000001	0.9091250000000001	0.9427916666666666	0.9138666666666667	0.8805555555555555	0.9896666666666668	0.983111111111111	0.8093333333333333	0.9046333333333333	0.9420555555555555	0.9066666666666666	0.03905555555555556	0.9038333333333334	0.9273999999999999	0.9017499999999999	0.8896000000000001	0.9704444444444444	0.7455555555555554	0.9612083333333333
kidney_glomerular_podocytes	0.08508333333333333	0.9163055555555556	0.9586	0.9064666666666668	0.9235000000000001	0.9705333333333334	0.9465333333333333	0.9629166666666666	0.9551249999999999	0.9542916666666666	0.7980666666666666	0.8184444444444444	0.9877777777777776	0.9807777777777779	0.7398888888888888	0.6654	0.9211666666666667	0.8678666666666667	0.10294444444444445	0.8783888888888889	0.8929333333333332	0.7959166666666667	0.9185333333333333	0.9273333333333335	0.9757777777777777	0.9503333333333334
kidney_tubular_endothel	0.9560833333333334	0.9681944444444444	0.9502666666666665	0.8611333333333334	0.9190833333333334	0.9598	0.9726666666666667	0.9722916666666667	0.9230416666666668	0.932125	0.8976666666666667	0.896611111111111	0.9817777777777777	0.9618888888888889	0.8906666666666666	0.9152666666666667	0.9381111111111111	0.9250666666666666	0.04344444444444445	0.9032777777777778	0.9485999999999999	0.9330833333333333	0.9171999999999999	0.9794444444444443	0.7547777777777779	0.967625
kidney_tubular_epithelial	0.02483333333333333	0.9174444444444444	0.975	0.8331333333333332	0.9485833333333332	0.9821333333333334	0.9378666666666667	0.9656250000000001	0.9549583333333334	0.9726250000000002	0.8148	0.8644444444444445	0.9882222222222222	0.984	0.7477777777777778	0.6350999999999999	0.8710555555555555	0.8923	0.1091111111111111	0.8958333333333334	0.8527333333333332	0.8422499999999999	0.9345333333333334	0.9285	0.9684444444444446	0.96225
liver_hepatocytes	0.9620416666666666	0.16447222222222224	0.9694333333333333	0.9171333333333335	0.9605833333333332	0.8552999999999998	0.8997333333333334	0.8462500000000001	0.9660208333333333	0.9547291666666666	0.8541666666666666	0.9155000000000001	0.9618888888888888	0.9136666666666665	0.9752222222222221	0.8824833333333332	0.9593611111111112	0.9667333333333333	0.10336111111111111	0.9679444444444444	0.9694666666666666	0.6983333333333333	0.9224333333333333	0.96625	0.8910555555555556	0.9088541666666666
lung_alveolar_endothel	0.9455	0.9656388888888888	0.9751666666666666	0.7859333333333334	0.9206666666666666	0.9271333333333333	0.9396	0.9708333333333333	0.9235833333333333	0.8844166666666666	0.8654000000000001	0.9007777777777778	0.9666666666666667	0.9765555555555556	0.737	0.7579666666666666	0.9557222222222223	0.8875666666666667	0.05827777777777778	0.8642777777777777	0.9342666666666667	0.9561666666666667	0.9113333333333333	0.9562222222222223	0.7825555555555556	0.9764583333333334
lung_alveolar_epithelial	0.8336666666666667	0.9526666666666666	0.9033333333333333	0.8782666666666668	0.9803333333333333	0.9588666666666666	0.8582666666666666	0.9633333333333333	0.22604166666666667	0.9214166666666667	0.9259333333333334	0.8627777777777778	0.9776666666666666	0.9664444444444444	0.9771111111111112	0.6632	0.9247222222222221	0.8283	0.04477777777777778	0.8614999999999999	0.9687333333333333	0.14108333333333334	0.9772	0.8973333333333334	0.9392222222222223	0.9487916666666667
lung_bronchus_epithelial	0.213	0.9570555555555557	0.9238	0.8946000000000001	0.9675833333333334	0.9798	0.8493333333333334	0.961	0.773875	0.9194583333333334	0.9312	0.8123333333333332	0.9322222222222223	0.9762222222222223	0.9526666666666667	0.8808666666666666	0.8871666666666668	0.8112	0.0661111111111111	0.06672222222222222	0.8606666666666666	0.7880833333333332	0.9704666666666667	0.7796666666666666	0.9095555555555556	0.9149583333333333
macrophage	0.9122187500000001	0.962375	0.975175	0.91845	0.95615625	0.94975	0.950275	0.79915625	0.9526875	0.958859375	0.849825	0.9520416666666668	0.9721666666666666	0.15845833333333334	0.9726666666666666	0.9449875	0.9352083333333332	0.972075	0.021875	0.9582708333333333	0.9411	0.8360000000000001	0.934625	0.9743541666666666	0.917375	0.9759687499999999
